UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
73228437,NA,Biase,Abayong,2022,41,105,27,9,0.6585365853658537,0.21951219512195122,0.3333333333333333,NA,NA,NA
86189273,NA,Yakurr,Ijom,2022,214,1363,175,93,0.8177570093457944,0.43457943925233644,0.5314285714285715,NA,NA,NA
69011802,NA,Abi,Ebom/Ebijakara,2022,40,101,32,16,0.8,0.4,0.5,NA,NA,NA
49601354,NA,Biase,Abayong,2022,13,42,4,0,0.3076923076923077,0,0,NA,NA,NA
76348031,NA,Biase,Abayong,2022,88,485,65,20,0.7386363636363636,0.22727272727272727,0.3076923076923077,NA,NA,NA
30175930,NA,Yakurr,Ijiman,2022,16,61,15,10,0.9375,0.625,0.6666666666666666,NA,NA,NA
74682830,NA,Yakurr,Ijom,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
78228826,NA,Yakurr,Idomi,2022,113,370,103,98,0.911504424778761,0.8672566371681416,0.9514563106796117,NA,NA,NA
32444048,NA,Yakurr,Ijiman,2022,122,455,119,102,0.9754098360655737,0.8360655737704918,0.8571428571428571,NA,NA,NA
28816551,NA,Yakurr,Ijom,2022,273,540,273,13,1,0.047619047619047616,0.047619047619047616,NA,NA,NA
76071249,NA,Yakurr,Ijiman,2022,12,20,9,4,0.75,0.3333333333333333,0.4444444444444444,NA,NA,NA
84606802,NA,Yakurr,Ijiman,2022,303,608,194,2,0.6402640264026402,0.006600660066006601,0.010309278350515464,NA,NA,NA
84612326,NA,Yakurr,Ijom,2022,77,252,69,54,0.8961038961038961,0.7012987012987013,0.782608695652174,NA,NA,NA
12382872,NA,Yakurr,Biko Biko,2022,26,57,26,8,1,0.3076923076923077,0.3076923076923077,NA,NA,NA
69706803,NA,Abi,Afafanyi/Igonigoni,2022,120,320,109,25,0.9083333333333333,0.20833333333333334,0.22935779816513763,NA,NA,NA
